Selected,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,Default
0,1004285007,SIMPLEX OFFICE SOLUTIONS,ANAHEIM,CA,92801,CALIFORNIA BANK & TRUST,CA,532420,15074,2001,36,1,1,0,0,1,0,Y,N,,15095,32812,0,P I F,0,30000,15000,0,0,0.5,0,1080,16175,0
1,1004535010,DREAM HOME REALTY,TORRANCE,CA,90505,CALIFORNIA BANK & TRUST,CA,531210,15130,2001,56,1,1,0,0,1,0,Y,N,,15978,30000,0,P I F,0,30000,15000,0,0,0.5,1,1680,17658,0
0,1005005006,"Winset, Inc. dba Bankers Hill",SAN DIEGO,CA,92103,CALIFORNIA BANK & TRUST,CA,531210,15188,2001,36,10,1,0,0,1,0,Y,N,,15218,30000,0,P I F,0,30000,15000,0,0,0.5,0,1080,16298,0
1,1005535001,Shiva Management,SAN DIEGO,CA,92108,CALIFORNIA BANK & TRUST,CA,531312,15719,2003,36,6,1,0,0,1,0,Y,N,,15736,50000,0,P I F,0,50000,25000,0,0,0.5,0,1080,16816,0
1,1005996006,"GOLD CROWN HOME LOANS, INC",LOS ANGELES,CA,91345,SBA - EDF ENFORCEMENT ACTION,CO,531390,16840,2006,240,65,1,3,65,1,1,0,N,,16903,343000,0,P I F,0,343000,343000,0,1,1,0,7200,24103,0
1,1006295003,Ronald Lee Roberts,SACRAMENTO,CA,95831,CALIFORNIA BANK & TRUST,CA,531210,15813,2003,84,1,1,0,0,1,0,Y,N,,15825,55825,0,P I F,0,50000,25000,0,0,0.5,0,2520,18345,0
0,1015066002,SUPERIOR BROKERS REALTY,HUNTINGTON PARK,CA,90255,U.S. BANK NATIONAL ASSOCIATION,OH,531210,16841,2006,269,2,1,0,2,1,1,0,N,18641,16860,297500,0,CHGOFF,247074,297500,223125,0,1,0.75,0,8070,24930,1
0,1015266003,LIBERTY REALTY CO,LONG BEACH,CA,90808,JPMORGAN CHASE BANK NATL ASSOC,NV,531210,16841,2006,84,1,2,2,1,1,2,Y,N,,16860,67047,0,P I F,0,30000,15000,1,0,0.5,0,2520,19380,0
0,1018975003,"SOUTHLAND MGT., CO.",SANTA ANA,CA,92704,BANK OF AMERICA NATL ASSOC,NC,531390,16252,2004,22,5,1,0,0,1,1,N,N,18189,16283,50000,0,CHGOFF,35333,50000,25000,0,0,0.5,0,660,16943,1
1,1022515008,"AMR Appraisals, Inc.",SAN RAMON,CA,94583,BANK OF AMERICA NATL ASSOC,NC,531320,16264,2004,84,4,2,0,0,1,1,Y,N,,16314,17500,0,P I F,0,10000,5000,1,0,0.5,0,2520,18834,0
1,1030805001,Global Parties Inc. dba Party,THOUSAND OAKS,CA,91360,BANK OF AMERICA NATL ASSOC,NC,532299,16281,2004,64,6,1,0,0,1,1,Y,N,16947,16314,50000,0,CHGOFF,47211,50000,25000,0,0,0.5,0,1920,18234,1
1,1033135007,Mitchell J Kemp dba Pacific Co,SAN FRANCISCO,CA,94103,BANK OF AMERICA NATL ASSOC,NC,531312,16286,2004,84,1,1,0,0,1,1,Y,N,,16314,17536,0,P I F,0,14000,7000,0,0,0.5,0,2520,18834,0
0,1035365010,"Tenant Guarantors, Inc",GRANITE BAY,CA,95746,BANK OF AMERICA NATL ASSOC,NC,531311,16289,2004,84,12,1,0,0,1,1,Y,N,,16314,33276,0,P I F,0,25000,12500,0,0,0.5,0,2520,18834,0
1,1038956001,SMOOTH AS SATIN ENTERPRISES IN,VALENCIA,CA,91354,JPMORGAN CHASE BANK NATL ASSOC,IL,531210,16846,2006,76,2,2,0,2,1,2,Y,N,17197,16921,30000,0,CHGOFF,29700,30000,15000,1,0,0.5,0,2280,19201,1
1,1039435004,GIUSEPPE & GRAZIA PENNISI DBA,BUTTE VALLEY,CA,95965,BANK OF AMERICA NATL ASSOC,NC,531312,16295,2004,60,8,1,0,0,1,1,Y,N,,16314,30502,0,P I F,0,30000,15000,0,0,0.5,0,1800,18114,0
1,1040106003,C&C FINANCIAL CORP,BURBANK,CA,91505,WELLS FARGO BANK NATL ASSOC,SD,531210,16847,2006,60,13,2,7,20,1,1,Y,N,,17225,25000,0,P I F,0,25000,12500,1,0,0.5,0,1800,19025,0
1,1040115010,Richard S. Fletcher dba Richar,LIVERMORE,CA,94550,BANK OF AMERICA NATL ASSOC,NC,531210,16296,2004,84,1,1,0,0,1,1,Y,N,,16314,20000,0,P I F,0,20000,10000,0,0,0.5,0,2520,18834,0
0,1041204008,"RED AND BLUE, INC.",SAN DIEGO,CA,92101,U.S. BANK NATIONAL ASSOCIATION,CA,532111,13590,1997,300,15,1,0,0,1,0,N,N,,13634,1000000,0,P I F,0,1000000,750000,0,1,0.75,0,9000,22634,0
1,1045135004,DORIS JEANNE HARDER DBA HARDER,WOODLAND,CA,95695,BANK OF AMERICA NATL ASSOC,NC,531210,16306,2004,38,2,2,0,0,1,1,T,N,17799,16314,10097,0,CHGOFF,9709,10000,5000,1,0,0.5,0,1140,17454,1
1,1046615008,"Java Enterprises, Inc dba Amer",TARZANA,CA,91356,BANK OF AMERICA NATL ASSOC,NC,532299,16307,2004,84,22,1,0,0,1,1,Y,N,,16344,10000,0,P I F,0,10000,5000,0,0,0.5,0,2520,18864,0
1,1048786002,Todd Key & Alan Smiley,RIVERSIDE,CA,92507,CDC SMALL BUS. FINAN CORP,CA,531210,16848,2006,240,13,1,8,0,1,1,0,N,,16994,79000,0,P I F,0,79000,79000,0,1,1,0,7200,24194,0
0,1048826001,Todd Key & Alan Smiley,RIVERSIDE,CA,92507,CDC SMALL BUS. FINAN CORP,CA,531210,16848,2006,240,13,1,8,0,1,1,0,N,,16994,249000,0,P I F,0,249000,249000,0,1,1,0,7200,24194,0
1,1054835004,Carmen Hernandez and Pedro Her,PICO RIVERA,CA,90662,BANK OF AMERICA NATL ASSOC,NC,532299,16321,2004,62,2,1,0,0,1,1,T,N,17062,16344,4999,0,CHGOFF,4999,10000,5000,0,0,0.5,0,1860,18204,1
1,1056816009,RENAISSANCE,STUDIO CITY,CA,91604,JPMORGAN CHASE BANK NATL ASSOC,NV,531210,16849,2006,84,3,2,0,3,1,2,Y,N,,16860,59450,0,P I F,0,30000,15000,1,0,0.5,0,2520,19380,0
1,1063815000,California Percussion LLC,SOUTH SAN FRANCISCO,CA,94080,BANK OF AMERICA NATL ASSOC,NC,532299,16334,2004,84,3,1,0,0,1,1,Y,N,,16344,25530,0,P I F,0,20000,10000,0,0,0.5,0,2520,18864,0
0,1077145001,DESERT REALTY & DEVELOPMENT CO,INGLEWOOD,CA,90305,BANK OF AMERICA NATL ASSOC,NC,531210,16350,2005,67,12,1,0,0,1,1,N,N,16932,16375,50000,0,CHGOFF,50000,50000,25000,0,0,0.5,0,2010,18385,1
1,1086365010,Winokur & Gage Inc.,LOS GATOS,CA,95030,BANK OF AMERICA NATL ASSOC,NC,531210,16364,2005,32,5,1,0,0,1,1,T,N,18128,16526,64000,0,P I F,16728,50000,25000,0,0,0.5,0,960,17486,0
1,1088625009,Michael L. Judson dba Linex Co,SAN RAFAEL,CA,94901,BANK OF AMERICA NATL ASSOC,NC,531210,16369,2005,84,4,1,0,0,1,1,N,N,,16375,39000,0,P I F,0,10000,5000,0,0,0.5,0,2520,18895,0
0,1091405003,THE FRANK TEHAN CORPORATION,KENSINGTON,CA,94707,CAPITAL ONE NATL ASSOC,VA,532299,16371,2005,84,3,1,0,0,1,1,N,N,,16405,25000,0,P I F,0,25000,12500,0,0,0.5,0,2520,18925,0
0,1092745002,Imagine Designs Inc.,MORGAN HILL,CA,95037,BANK OF AMERICA NATL ASSOC,NC,533110,16372,2005,84,2,1,0,0,1,1,Y,N,,16405,32697,0,P I F,0,25000,12500,0,0,0.5,0,2520,18925,0
0,1097055006,Artur Ambarachyan dba Millenni,GLENDALE,CA,91208,BANK OF AMERICA NATL ASSOC,NC,531210,16378,2005,84,4,1,0,0,1,1,Y,N,,16405,25000,0,P I F,0,25000,12500,0,0,0.5,0,2520,18925,0
1,1097615008,Eight Eight 88 Corp.,FOLSOM,CA,95630,BANK OF AMERICA NATL ASSOC,NC,531210,16379,2005,84,1,2,0,0,1,1,Y,N,,16436,10000,0,P I F,0,10000,5000,1,0,0.5,0,2520,18956,0
1,1100695001,VIDEO PALACE,CHOWCHILLA,CA,93610,CAPITAL ONE NATL ASSOC,VA,532230,16384,2005,84,2,1,0,0,1,2,N,N,,16405,10000,0,P I F,0,10000,5000,0,0,0.5,0,2520,18925,0
0,1101815002,"Shaky, Inc.",STUDIO CITY,CA,91604,BANK OF AMERICA NATL ASSOC,NC,531210,16385,2005,34,1,2,0,0,1,1,N,N,18004,16467,12750,0,CHGOFF,8415,10000,5000,1,0,0.5,0,1020,17487,1
0,1105055007,"PORTFOLIO SERVICES GROUP, INC.",LAGUNA HILLS,CA,92656,CAPITAL ONE NATL ASSOC,VA,531320,16391,2005,84,1,1,0,0,1,1,N,N,,16436,35000,0,P I F,0,35000,17500,0,0,0.5,0,2520,18956,0
1,1106844003,XPRESS RENT-A-CAR OF HEMET,HEMET,CA,92545,U.S. BANK NATIONAL ASSOCIATION,CA,532111,13612,1997,300,30,1,0,0,1,0,0,N,,13695,150500,0,P I F,0,150500,112875,0,1,0.75,0,9000,22695,0
0,1113545001,"Boels, Inc. dba Automated Regi",FOUNTAIN VALLEY,CA,92708,CAPITAL ONE NATL ASSOC,VA,532490,16401,2005,84,8,1,0,0,1,1,N,N,,16467,100000,0,P I F,0,100000,50000,0,0,0.5,0,2520,18987,0
1,1115215000,"First Step Funding, Inc. dba F",Orange,CA,92868,CAPITAL ONE NATL ASSOC,VA,531210,16405,2005,33,12,1,0,0,1,1,N,N,18063,16436,50000,0,CHGOFF,38832,50000,25000,0,0,0.5,0,990,17426,1
1,1118365005,Premnarayan R. Soni dba Ba Ba,APPLE VALLEY,CA,92307,BANK OF AMERICA NATL ASSOC,NC,531311,16408,2005,84,3,1,0,0,1,1,Y,N,,16436,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,18956,0
1,1122665004,Richard Aguilar dba Big Bounce,TULARE,CA,93274,BANK OF AMERICA NATL ASSOC,NC,532299,16413,2005,4,2,1,0,0,1,1,N,N,18388,16436,12000,0,CHGOFF,1547,12000,6000,0,0,0.5,0,120,16556,1
0,1122875008,Patty Schwartzkopf Properties,MAMMOTH LAKES,CA,93546,BANK OF AMERICA NATL ASSOC,NC,531210,16413,2005,84,2,1,0,0,1,2,Y,N,,16587,11000,0,P I F,0,11000,5500,0,0,0.5,0,2520,19107,0
0,1123945007,ROBERT S PERDUE DBA ROBERT SHE,TEMECULA,CA,92590,CAPITAL ONE NATL ASSOC,VA,531320,16414,2005,84,7,1,0,0,1,1,N,N,,16436,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,18956,0
0,1127975002,ABC Enterprises of Southern Ca,ADELANTO,CA,92301,BANK OF AMERICA NATL ASSOC,NC,531390,16418,2005,56,3,1,0,0,1,1,Y,N,17345,16467,25009,0,CHGOFF,24952,25000,12500,0,0,0.5,0,1680,18147,1
1,1130575001,Go On Enterprises Inc,APPLE VALLEY,CA,92307,BANK OF AMERICA NATL ASSOC,NC,531390,16420,2005,50,1,1,0,0,1,1,Y,N,17491,16436,50591,0,CHGOFF,49447,50000,25000,0,0,0.5,1,1500,17936,1
0,1136545004,"Villarino Financial, Inc. dba",La Mesa,CA,91941,CALIFORNIA BANK & TRUST,CA,531210,16426,2005,84,6,1,0,0,1,1,Y,N,,16436,229540,0,P I F,0,100000,50000,0,0,0.5,0,2520,18956,0
0,1137015000,Salay Bangura dba Lungi Enterp,WALNUT,CA,91789,BANK OF AMERICA NATL ASSOC,NC,531390,16426,2005,61,4,1,0,0,1,1,T,N,17170,16436,10000,0,CHGOFF,10000,10000,5000,0,0,0.5,0,1830,18266,1
1,1137605000,"Rent 4 Less, Inc.",Fullerton,CA,92831,CALIFORNIA BANK & TRUST,CA,532112,16427,2005,42,7,1,0,0,1,1,N,N,18403,16436,100000,0,CHGOFF,61348,100000,50000,0,0,0.5,1,1260,17696,1
0,1138035008,"Priceless Cars & Trucks Ent.,",ANAHEIM,CA,92801,CALIFORNIA BANK & TRUST,CA,532120,16427,2005,42,10,1,0,0,1,1,N,N,18484,16436,100000,0,CHGOFF,61325,100000,50000,0,0,0.5,1,1260,17696,1
1,1153685002,"The Sonne Group Inc., dba Self",HUNTINGTON BEACH,CA,92648,BANK OF AMERICA NATL ASSOC,NC,531320,16446,2005,84,4,1,0,4,1,1,Y,N,,16495,113000,0,P I F,0,50000,25000,0,0,0.5,0,2520,19015,0
1,1156185000,"MTS UNLIMITED, INC.",VISTA,CA,92083,CAPITAL ONE NATL ASSOC,VA,532299,16448,2005,84,18,1,2,18,1,1,N,N,,16467,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,18987,0
1,1159915000,Westec Mortgage Inc.,RANCHO CUCAMONGA,CA,91730,BANK OF AMERICA NATL ASSOC,NC,531390,16450,2005,49,3,1,2,3,1,1,T,N,17687,16587,69500,0,CHGOFF,50000,50000,25000,0,0,0.5,1,1470,18057,1
1,1161485001,CHENG & ASSOCIATES LLC,SAN FRANCISCO,CA,94117,CAPITAL ONE NATL ASSOC,VA,531210,16454,2005,60,2,1,0,2,1,1,N,N,17261,16495,50000,0,CHGOFF,41691,50000,25000,0,0,0.5,0,1800,18295,1
1,1162204004,FOX'S VIDEO,CLOVIS,CA,93611,CALIFORNIA BANK & TRUST,CA,532230,13627,1997,32,6,1,0,0,1,0,0,N,15313,13695,90000,0,CHGOFF,8469,90000,72000,0,0,0.8,0,960,14655,1
1,1162775007,Technogeeks LLC,BURBANK,CA,91505,BANK OF AMERICA NATL ASSOC,NC,531210,16457,2005,84,2,1,0,2,1,1,Y,N,,17562,10000,0,P I F,0,10000,5000,0,0,0.5,0,2520,20082,0
0,1168925005,"Desert Resort Management, Inc.",Palm Desert,CA,92260,CAPITAL ONE NATL ASSOC,VA,531390,16461,2005,84,58,1,4,58,1,1,N,N,,16495,100000,0,P I F,0,100000,50000,0,0,0.5,0,2520,19015,0
0,1168985001,Claudio Gonzalez dba A & A Pro,ADELANTO,CA,92301,BANK OF AMERICA NATL ASSOC,NC,531311,16461,2005,53,2,1,1,2,1,1,Y,N,17477,16495,25000,0,CHGOFF,25000,25000,12500,0,0,0.5,0,1590,18085,1
1,1169845007,Luna Terra LLC,COTATI,CA,94931,BANK OF AMERICA NATL ASSOC,NC,531210,16461,2005,19,1,2,0,1,1,1,Y,N,18493,16495,23282,0,CHGOFF,5897,10000,5000,1,0,0.5,0,570,17065,1
