Selected (label),Term,NoEmp,CreateJob,RetainedJob,UrbanRural,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession
1,240,65,3,65,1,0,343000,343000,0,1,1.0,0
0,269,2,0,2,1,247074,297500,223125,0,1,0.75,0
0,84,1,2,1,2,0,30000,15000,1,0,0.5,0
1,76,2,0,2,2,29700,30000,15000,1,0,0.5,0
1,60,13,7,20,1,0,25000,12500,1,0,0.5,0
1,240,13,8,0,1,0,79000,79000,0,1,1.0,0
0,240,13,8,0,1,0,249000,249000,0,1,1.0,0
1,84,3,0,3,2,0,30000,15000,1,0,0.5,0
0,240,13,6,13,2,0,229000,229000,0,1,1.0,0
1,39,3,1,4,1,40000,40000,20000,0,0,0.5,0
0,240,345,20,0,1,0,568000,568000,0,1,1.0,0
0,240,6,5,0,1,0,557000,557000,0,1,1.0,0
0,268,5,3,8,1,230645,394200,295650,0,1,0.75,0
0,240,34,6,34,1,0,914000,914000,0,1,1.0,0
1,41,1,1,1,1,29638,30000,15000,0,0,0.5,0
0,73,31,69,31,1,0,150000,75000,0,0,0.5,0
1,54,3,2,3,2,28987,30000,15000,0,0,0.5,0
1,240,20,3,0,1,0,105000,105000,0,1,1.0,0
1,120,6,0,6,1,0,825000,618750,0,0,0.75,0
0,7,1,0,1,1,43770,45000,22500,0,0,0.5,0
1,39,1,0,1,1,23950,24000,12000,1,0,0.5,1
0,84,1,0,1,1,0,50000,25000,0,0,0.5,0
0,84,1,0,1,1,0,100000,50000,0,0,0.5,0
0,84,1,3,1,1,0,50000,25000,0,0,0.5,0
0,84,5,0,5,2,0,50000,25000,0,0,0.5,0
0,84,5,2,5,2,0,30000,15000,0,0,0.5,0
1,44,1,6,1,1,70294,100000,50000,0,0,0.5,0
0,56,3,2,3,1,70525,74300,37150,0,0,0.5,0
1,84,2,0,2,1,0,25000,12500,0,0,0.5,0
0,43,9,0,9,1,19119,20000,10000,0,0,0.5,0
0,84,1,1,2,1,0,10000,5000,1,0,0.5,0
1,38,3,0,3,1,29219,30000,15000,0,0,0.5,0
0,58,5,0,5,1,34164,35000,17500,0,0,0.5,0
0,40,2,2,2,1,61731,100000,50000,0,0,0.5,1
1,8,4,0,4,1,14193,50000,25000,0,0,0.5,0
0,60,7,1,7,1,0,40000,20000,0,0,0.5,0
0,57,13,0,13,1,39369,40000,20000,1,0,0.5,0
0,51,10,1,10,1,50000,50000,25000,0,0,0.5,0
0,84,5,1,6,1,0,25000,12500,0,0,0.5,0
1,20,12,3,12,1,20886,35000,17500,0,0,0.5,0
1,55,2,0,2,1,12317,12700,6350,1,0,0.5,0
1,55,1,2,1,1,20635,25000,12500,0,0,0.5,0
1,84,2,0,2,1,0,50000,25000,1,0,0.5,0
1,240,13,3,0,1,0,669000,669000,0,1,1.0,0
0,48,1,1,2,1,29997,30000,15000,0,0,0.5,0
1,84,3,0,3,1,0,25800,12900,0,0,0.5,0
1,53,2,2,2,1,15098,35000,17500,1,0,0.5,0
0,300,4,4,8,1,0,952000,714000,0,1,0.75,0
0,46,5,0,5,1,49000,50000,25000,0,0,0.5,0
0,62,2,1,2,1,10500,10500,5250,0,0,0.5,0
0,84,3,0,3,1,0,50000,25000,1,0,0.5,0
0,43,2,1,2,1,49500,50000,25000,0,0,0.5,0
0,84,1,0,1,1,0,65000,32500,1,0,0.5,0
0,49,1,0,1,1,6030,7000,3500,1,0,0.5,0
0,52,1,0,1,1,9867,10000,5000,1,0,0.5,0
0,84,4,1,4,1,0,15000,7500,0,0,0.5,0
1,47,1,0,1,1,17840,25000,12500,0,0,0.5,0
0,46,7,0,7,1,40977,50000,25000,0,0,0.5,0
0,59,1,2,1,1,44467,50000,25000,0,0,0.5,0
0,53,3,0,3,1,24400,25000,12500,0,0,0.5,0
1,240,34,5,0,1,0,905000,905000,0,1,1.0,0
0,84,2,2,2,1,0,50000,25000,0,0,0.5,0
0,54,4,1,4,1,50000,50000,25000,0,0,0.5,0
1,72,4,0,4,1,19800,20000,10000,1,0,0.5,0
0,64,2,0,2,1,9935,10000,5000,1,0,0.5,0
0,55,4,0,4,1,9350,10000,5000,1,0,0.5,0
0,50,3,2,3,1,40250,40500,20250,1,0,0.5,0
1,21,1,0,1,1,31469,50000,25000,0,0,0.5,1
1,50,2,1,3,1,9477,10000,5000,0,0,0.5,0
0,84,1,0,1,1,0,25000,12500,0,0,0.5,0
0,84,1,0,1,1,0,10000,5000,1,0,0.5,0
0,58,5,1,5,1,20198,25000,21250,1,0,0.85,0
1,59,5,0,5,1,49995,50000,25000,1,0,0.5,0
1,37,30,2,30,1,14733,25000,12500,1,0,0.5,1
0,61,1,0,1,1,39444,41000,20500,1,0,0.5,0
0,65,2,3,2,1,23373,25000,12500,0,0,0.5,0
1,84,1,3,1,1,0,100000,50000,0,0,0.5,0
0,42,13,1,13,1,44950,45000,22500,0,0,0.5,0
0,84,2,0,2,1,0,50000,25000,0,0,0.5,0
1,32,2,0,2,1,1963,36000,18000,1,0,0.5,1
1,24,5,2,5,1,42580,50000,25000,0,0,0.5,1
1,23,3,0,3,1,9210,20000,10000,0,0,0.5,1
1,61,1,0,1,1,42170,50000,25000,0,0,0.5,0
