Default (label),Recession,New,RealEstate,DisbursementGross,Portion
0,0,0,0,32812,0.5
0,1,0,0,30000,0.5
0,0,0,0,30000,0.5
0,0,0,0,50000,0.5
0,0,0,0,55825,0.5
1,0,0,0,50000,0.5
0,0,1,0,17500,0.5
1,0,0,0,50000,0.5
0,0,0,0,17536,0.5
0,0,0,0,33276,0.5
0,0,0,0,30502,0.5
0,0,0,0,20000,0.5
0,0,0,1,1000000,0.75
1,0,1,0,10097,0.5
0,0,0,0,10000,0.5
1,0,0,0,4999,0.5
0,0,0,0,25530,0.5
1,0,0,0,50000,0.5
0,0,0,0,64000,0.5
0,0,0,0,39000,0.5
0,0,0,0,25000,0.5
0,0,0,0,32697,0.5
0,0,0,0,25000,0.5
0,0,1,0,10000,0.5
0,0,0,0,10000,0.5
1,0,1,0,12750,0.5
0,0,0,0,35000,0.5
0,0,0,1,150500,0.75
0,0,0,0,100000,0.5
1,0,0,0,50000,0.5
0,0,0,0,50000,0.5
1,0,0,0,12000,0.5
0,0,0,0,11000,0.5
0,0,0,0,50000,0.5
1,0,0,0,25009,0.5
1,1,0,0,50591,0.5
0,0,0,0,229540,0.5
1,0,0,0,10000,0.5
1,1,0,0,100000,0.5
1,1,0,0,100000,0.5
0,0,0,0,113000,0.5
0,0,0,0,50000,0.5
1,1,0,0,69500,0.5
1,0,0,0,50000,0.5
1,0,0,0,90000,0.8
0,0,0,0,10000,0.5
0,0,0,0,100000,0.5
1,0,0,0,25000,0.5
1,0,1,0,23282,0.5
1,1,1,0,20000,0.5
1,0,0,0,83500,0.5
0,0,0,0,50000,0.5
0,0,0,0,50000,0.5
1,0,0,0,58945,0.5
0,0,0,0,50000,0.5
0,0,0,0,64000,0.5
0,0,0,0,60000,0.5
0,0,0,0,58602,0.5
0,0,0,0,100000,0.8
0,0,0,0,19700,0.5
1,0,0,0,45018,0.5
0,0,0,0,67597,0.5
1,0,0,0,13107,0.5
1,1,0,0,100000,0.5
0,0,0,1,357000,1.0
0,0,0,0,14900,0.5
1,1,0,0,33500,0.5
1,1,0,0,100000,0.5
1,0,0,0,50000,0.5
0,0,1,0,10000,0.5
0,1,0,0,10000,0.5
1,0,0,0,81937,0.5
0,0,1,0,10000,0.5
0,0,0,0,35000,0.5
0,0,0,0,139892,0.5
0,0,0,1,504000,0.75
1,0,0,0,50000,0.5
1,0,0,0,50000,0.5
1,0,0,0,82804,0.5
1,1,0,0,35000,0.5
0,0,0,0,111500,0.5
0,0,0,0,50000,0.5
0,0,0,0,48449,0.8
1,1,0,0,46003,0.5
1,0,0,0,93595,0.5
0,1,1,0,12970,0.5
0,0,0,0,28500,0.5
1,1,0,0,25000,0.5
0,0,0,0,79500,0.5
1,1,0,0,25000,0.5
1,0,0,0,75000,0.5
0,0,0,0,30000,0.5
1,0,0,0,35000,0.5
1,1,0,0,187000,0.5
1,0,0,0,50000,0.5
0,0,1,0,50000,0.5
0,0,0,1,302000,0.75
0,0,0,0,50000,0.5
1,0,0,0,109000,0.5
0,0,0,0,92446,0.5
0,0,0,0,55000,0.5
1,1,0,0,81475,0.5
0,0,0,0,93000,0.5
0,1,0,0,20000,0.5
0,0,0,0,69500,0.5
1,0,0,0,44750,0.5
0,0,1,0,21500,0.5
1,0,0,0,20505,0.5
0,0,1,1,1240000,0.75
0,0,0,0,140000,0.5
0,0,0,0,22964,0.5
1,0,0,0,100000,0.85
0,0,0,1,257000,0.75
0,0,1,0,65000,0.5
1,0,1,0,24046,0.5
1,0,1,0,5000,0.5
1,0,0,0,50000,0.5
1,1,0,0,45000,0.5
0,0,0,0,61483,0.5
0,0,0,0,140000,0.75
0,0,1,0,70112,0.5
1,0,0,0,53450,0.5
1,0,1,0,74432,0.5
0,0,0,1,720000,0.75
1,0,0,0,50000,0.5
0,0,0,0,10800,0.85
0,0,0,1,369000,0.75
0,0,0,0,100000,0.75
0,0,1,0,50000,0.8
0,0,0,1,500000,0.75
0,0,0,0,50000,0.8
0,1,1,0,100000,0.8
0,1,0,0,105000,0.75
0,0,0,0,808600,0.75
0,0,1,0,100000,0.8
0,0,0,0,27000,0.5
0,1,0,0,1000000,0.75
0,1,0,0,360000,0.75
0,0,0,0,60000,0.8
0,1,0,0,50000,0.8
0,0,0,0,60000,0.8
0,0,0,0,100000,0.8
0,0,0,0,29000,0.5
0,0,0,1,881800,0.75
0,1,0,0,105000,0.75
0,0,0,1,188000,0.75
0,0,0,1,180000,0.75
0,0,0,0,50000,0.5
0,0,0,1,688500,0.75
0,0,0,0,30000,0.8
0,1,0,0,300000,0.75
1,0,0,0,25000,0.5
0,0,0,1,134000,0.75
0,1,0,0,100000,0.8
0,0,0,0,32900,0.5
0,0,0,1,970000,0.71428
0,0,0,0,76000,0.8
0,0,0,0,326000,0.75
0,0,1,1,124000,0.75
0,0,0,0,21200,0.5
0,1,0,0,250000,0.75
0,0,0,1,150800,0.75
0,1,0,0,216000,0.75
0,0,0,1,108000,0.75
0,0,0,1,414000,1.0
0,0,0,0,10000,0.5
0,1,0,0,50000,0.8
0,0,0,1,394000,1.0
0,1,0,0,300000,0.29677
0,0,0,1,245000,1.0
0,0,0,1,315000,0.75
0,0,0,1,158500,0.75
0,0,0,1,252200,0.75
0,1,0,0,100000,0.75
0,0,0,1,510800,0.75
0,1,0,0,307000,0.75
0,0,0,1,452000,1.0
1,0,0,0,750000,0.75
0,0,0,1,501000,1.0
0,1,0,0,75000,0.8
0,0,0,1,180000,0.75
0,0,0,1,523000,1.0
0,0,0,1,1000000,1.0
0,1,0,0,36000,0.8
0,0,1,0,78800,0.8
0,0,0,1,212400,0.75
0,0,0,1,405000,0.75
0,0,0,1,297000,0.75
0,0,0,0,180000,0.75
1,0,0,0,15000,0.5
0,0,0,1,526500,0.75
0,0,0,1,708000,0.75
0,0,1,1,450000,0.75
1,0,1,0,65000,0.8
0,0,0,0,320000,0.75
0,0,0,1,38000,0.8
1,0,0,0,95000,0.8
0,0,0,1,180000,0.75
0,0,0,1,771000,1.0
0,0,0,1,266400,0.75
0,0,1,0,52200,0.8
0,0,0,1,427500,0.75
0,0,0,0,200000,0.75
0,0,0,0,80000,0.9
0,0,0,1,93000,0.9
0,0,0,0,48270,0.5
0,0,1,0,252000,0.85
0,0,0,1,255000,0.75
0,0,0,0,85000,0.75
0,0,0,0,50000,0.75
0,0,0,0,115000,0.75
0,0,0,0,125000,0.75
0,0,0,0,49500,0.9
0,0,0,0,50000,0.9
0,0,1,0,250000,0.85
0,0,0,1,212000,0.85
0,0,1,0,200000,0.85
0,0,0,1,171000,0.75
0,0,0,0,125000,0.9
0,0,0,1,180000,1.0
0,0,0,0,550000,0.75
0,0,1,0,230000,0.85
0,0,0,1,270000,0.85
0,0,0,0,138000,0.75
0,0,1,1,120000,0.9
0,0,1,0,115000,0.9
0,0,0,1,348000,0.75
0,0,0,1,723000,1.0
1,1,0,0,65000,0.8
0,0,1,0,80000,0.9
0,0,0,1,480000,0.75
1,0,0,0,125000,0.75
0,0,0,0,75000,0.5
0,0,1,0,90000,0.9
0,0,0,0,200000,0.75
0,0,1,1,100000,0.9
0,0,0,0,60000,0.9
0,0,0,1,225000,0.75
0,0,0,0,40000,0.8
0,0,0,1,1000000,0.75
0,0,0,0,250000,0.75
0,0,0,1,574000,0.75
0,0,0,0,250000,0.75
0,0,0,0,150000,0.9
0,0,0,1,129000,1.0
0,0,0,1,675000,0.75
0,0,0,1,183619,0.75
0,0,0,0,25200,0.8
0,0,0,1,500000,0.7254
0,0,0,1,222000,0.75
0,0,1,1,161000,0.8
0,0,1,0,500000,0.75
0,0,0,1,135000,0.75
0,0,0,1,1344400,0.506439304
0,0,0,1,136500,0.50643956
0,0,0,1,193000,0.75
0,0,0,1,126000,0.75
0,0,0,1,619000,1.0
0,0,0,0,64270,0.5
0,0,0,1,594000,0.75
0,0,0,1,1149000,0.652739774
0,0,0,1,577000,1.0
0,0,1,0,292500,0.75
0,0,0,0,115400,0.75
0,0,0,1,333000,0.75
1,0,0,0,127500,0.75
0,0,1,0,25000,0.8
0,0,0,1,517500,0.75
0,0,0,1,607000,0.75
1,0,0,0,400000,0.75
0,0,0,0,92370,0.5
0,0,0,1,414000,1.0
0,0,0,1,163000,1.0
0,1,0,0,100000,0.8
0,0,1,0,35000,0.9
0,0,0,1,536000,1.0
0,0,0,1,162000,1.0
0,0,0,1,150000,1.0
0,0,0,1,314000,1.0
0,0,0,0,55000,0.5
0,0,0,0,75000,0.5
0,0,0,1,440000,1.0
0,0,1,0,229200,0.75
0,0,0,1,125100,0.75
0,0,1,0,200000,0.85
0,0,1,0,90000,0.8
0,0,0,0,1000000,0.75
0,1,1,0,100000,0.8
0,0,0,0,100000,0.75
0,0,0,1,635000,1.0
0,0,0,1,1000000,0.75
0,0,1,0,30000,0.85
0,0,0,1,638000,0.75
0,1,1,0,80000,0.85
0,0,0,0,220000,0.75
0,0,0,1,306000,0.75
0,0,0,1,322400,0.75
0,0,1,0,150000,0.8
0,0,0,1,750000,0.75
0,0,0,1,249000,1.0
0,1,0,0,250000,0.75
1,0,0,0,30000,0.5
0,0,0,0,25000,0.9
0,0,0,1,409500,0.75
0,0,1,0,200000,0.85
0,0,1,0,60000,0.9
0,0,0,1,222700,0.75
0,0,0,1,158000,1.0
0,0,0,0,80000,0.9
0,0,1,0,210000,0.85
0,0,0,0,254500,0.75
0,0,0,1,619000,1.0
0,0,0,0,50000,0.8
0,1,0,0,99000,0.85
0,0,0,1,330000,0.75
0,0,0,1,157000,0.75
0,0,0,0,75000,0.9
0,0,0,0,455000,0.75
0,0,0,0,35000,0.5
0,0,0,1,181000,1.0
0,0,0,0,140000,0.9
0,0,0,1,333000,0.75
0,0,0,1,311600,0.75
0,0,0,1,254500,0.75
0,0,0,1,545000,0.75
0,0,0,1,240000,0.85
0,0,0,1,143000,0.75
0,0,0,1,434000,1.0
1,0,1,0,60000,0.9
0,0,0,0,369000,0.8
0,1,1,0,30619,0.5
0,0,0,1,1000000,1.0
0,0,0,0,288000,0.85
0,0,0,0,270000,0.75
0,0,1,0,58000,0.9
0,0,0,0,135000,0.85
0,0,0,0,150000,0.85
0,0,1,0,183000,0.82
1,0,0,0,89000,0.9
0,0,0,0,60000,0.9
0,0,0,1,220000,0.75
0,0,1,0,94000,0.8
0,0,0,0,435000,0.75
0,0,1,1,222280,0.85
0,0,0,1,110000,0.9
0,0,0,1,700000,0.85
0,0,0,0,400000,0.75
0,0,0,1,899000,0.75
0,0,0,0,135000,0.9
0,0,0,1,866800,0.75
0,0,0,1,435000,0.75
