Default (label),Recession,New,RealEstate,DisbursementGross,Portion
0,0,0,1,343000,1.0
1,0,0,1,297500,0.75
0,0,1,0,67047,0.5
1,0,1,0,30000,0.5
0,0,1,0,25000,0.5
0,0,0,1,79000,1.0
0,0,0,1,249000,1.0
0,0,1,0,59450,0.5
0,0,0,1,229000,1.0
1,0,0,0,116007,0.5
0,0,0,1,568000,1.0
0,0,0,1,557000,1.0
1,0,0,1,394200,0.75
0,0,0,1,914000,1.0
1,0,0,0,51751,0.5
0,0,0,0,150000,0.5
1,0,0,0,43509,0.5
0,0,0,1,105000,1.0
0,0,0,0,825000,0.75
1,0,0,0,45000,0.5
1,1,1,0,62267,0.5
0,0,0,0,50000,0.5
0,0,0,0,329825,0.5
0,0,0,0,50000,0.5
0,0,0,0,98863,0.5
0,0,0,0,83768,0.5
1,0,0,0,100000,0.5
1,0,0,0,74300,0.5
0,0,0,0,60399,0.5
1,0,0,0,35000,0.5
0,0,1,0,12973,0.5
1,0,0,0,49959,0.5
1,0,0,0,37695,0.5
1,1,0,0,100000,0.5
1,0,0,0,209210,0.5
0,0,0,0,40000,0.5
1,0,1,0,58292,0.5
1,0,0,0,74500,0.5
0,0,0,0,45736,0.5
1,0,0,0,84492,0.5
1,0,1,0,12700,0.5
1,0,0,0,25000,0.5
0,0,1,0,252539,0.5
0,0,0,1,669000,1.0
1,0,0,0,60000,0.5
0,0,0,0,49310,0.5
1,0,1,0,35000,0.5
0,0,0,1,952000,0.75
1,0,0,0,133922,0.5
1,0,0,0,10500,0.5
0,0,1,0,89500,0.5
1,0,0,0,79000,0.5
0,0,1,0,65000,0.5
1,0,1,0,7000,0.5
1,0,1,0,25029,0.5
0,0,0,0,15000,0.5
1,0,0,0,46723,0.5
1,0,0,0,85000,0.5
1,0,0,0,50000,0.5
1,0,0,0,31850,0.5
0,0,0,1,905000,1.0
0,0,0,0,50000,0.5
1,0,0,0,79500,0.5
1,0,1,0,35600,0.5
1,0,1,0,14880,0.5
0,0,1,0,9350,0.5
1,0,1,0,60500,0.5
1,1,0,0,50000,0.5
1,0,0,0,32952,0.5
0,0,0,0,50000,0.5
0,0,1,0,29000,0.5
1,0,1,0,25000,0.85
1,0,1,0,50000,0.5
1,1,1,0,25000,0.5
1,0,1,0,77872,0.5
1,0,0,0,25000,0.5
0,0,0,0,452942,0.5
1,0,0,0,64500,0.5
0,0,0,0,123471,0.5
1,1,1,0,37064,0.5
1,1,0,0,92929,0.5
1,1,0,0,20000,0.5
1,0,0,0,50000,0.5
0,0,0,1,1117000,1.0
1,1,0,0,14356,0.5
1,0,0,0,17900,0.5
1,0,1,0,100000,0.5
1,0,0,1,1067000,0.75
1,0,0,0,62092,0.5
1,1,0,0,133736,0.5
0,0,0,0,50000,0.5
0,0,1,0,181219,0.5
0,0,0,0,89186,0.5
0,0,0,0,118885,0.5
0,1,0,0,399602,0.5
1,0,0,0,10000,0.5
1,0,0,0,25000,0.5
1,1,0,0,12414,0.5
1,0,0,0,171248,0.5
0,0,1,0,73000,0.5
1,0,0,0,15100,0.5
0,0,0,0,89313,0.5
1,0,0,0,98493,0.5
0,0,1,0,14121,0.5
