G3 (label),age,studytime,famsup,higher,internet,health,absences,G1,G2
0,18,2,1,0,1,3,4,0,11
0,17,2,0,0,0,3,2,9,11
1,15,2,1,0,0,3,6,12,13
1,15,3,0,0,0,5,0,14,14
1,16,2,0,0,1,5,0,11,13
1,16,2,0,0,0,5,6,12,12
1,16,2,1,0,0,3,0,13,12
1,17,2,0,0,1,1,2,10,13
1,15,2,0,0,0,1,0,15,16
1,15,2,0,0,0,5,0,12,12
1,15,2,0,0,0,2,2,14,14
1,15,3,0,0,0,4,0,10,12
1,15,1,0,0,0,5,0,12,13
1,15,2,0,0,0,3,0,12,12
1,15,3,0,0,0,3,0,14,14
1,16,1,0,0,0,2,6,17,17
1,16,3,0,0,0,2,10,13,13
1,16,2,0,0,1,4,2,13,14
0,17,1,0,0,0,5,2,8,8
1,16,1,1,0,0,5,6,12,12
1,15,2,1,0,0,1,0,12,13
1,15,1,0,0,0,5,0,11,12
1,16,2,1,0,0,5,0,12,13
0,16,2,0,0,0,5,2,10,10
0,15,3,0,0,0,5,2,10,11
1,16,1,0,0,0,5,6,10,11
1,15,1,0,0,0,5,8,11,12
0,15,1,1,0,0,1,0,11,11
1,16,2,0,0,0,5,2,12,12
1,16,2,0,0,0,5,4,12,11
0,15,2,0,0,0,5,0,10,11
1,15,2,0,0,0,5,2,15,15
1,15,2,0,0,0,5,0,13,14
1,15,2,1,0,0,2,0,13,12
1,16,1,0,0,0,5,4,12,12
0,15,1,0,0,1,5,4,11,11
1,15,3,0,0,0,4,0,14,14
1,16,3,0,0,0,5,4,13,13
1,15,3,0,0,0,5,2,11,12
1,15,1,0,0,1,2,8,14,13
0,16,2,0,0,0,3,16,11,11
0,15,1,0,0,0,5,8,10,11
1,15,2,0,0,0,5,0,14,15
0,15,1,0,0,0,1,0,9,10
0,16,2,1,0,0,5,14,10,11
0,15,2,0,0,0,5,4,10,11
1,16,2,0,0,0,3,6,13,12
1,16,4,1,0,0,2,2,17,17
1,15,2,0,0,1,5,4,11,12
1,15,2,0,0,0,3,2,13,12
1,16,2,0,0,0,4,0,14,13
1,15,2,0,0,0,5,0,16,14
0,15,1,1,0,1,5,4,10,9
1,15,1,0,0,0,5,0,13,12
1,15,1,1,0,0,1,0,13,12
1,16,2,1,0,0,2,2,12,13
1,15,2,0,0,0,1,0,15,14
1,15,2,0,0,1,5,8,15,15
1,15,2,0,0,0,5,0,14,13
1,16,2,0,0,0,5,2,16,15
1,16,2,0,0,1,4,0,17,16
1,16,1,0,0,0,5,0,10,10
0,16,2,1,0,0,1,0,13,13
1,16,3,0,0,0,4,0,14,13
1,15,2,1,0,0,2,0,13,12
1,16,2,0,0,0,1,2,16,15
1,15,4,0,0,0,3,0,11,12
0,16,4,0,0,0,5,0,10,9
0,15,2,0,0,0,4,0,11,10
1,15,4,0,0,0,3,6,15,15
0,16,4,0,0,0,5,2,13,11
0,15,4,1,0,0,3,0,11,9
0,15,2,0,0,0,5,2,13,11
1,16,1,1,0,1,5,0,13,13
0,16,2,0,0,0,5,4,11,11
0,15,2,0,0,0,5,0,11,11
0,15,4,1,0,0,1,0,12,11
1,16,4,1,0,0,3,1,13,13
0,17,1,0,1,0,3,0,9,9
0,16,2,0,0,0,3,14,12,11
1,15,1,0,0,0,3,0,11,11
0,15,3,1,0,0,5,2,10,9
0,15,2,0,0,0,5,4,12,11
1,15,2,1,0,0,4,2,13,12
1,15,2,0,0,0,4,2,13,12
1,15,2,1,0,0,5,4,12,11
0,16,2,0,0,1,2,6,13,11
1,15,3,0,0,0,1,4,15,15
0,16,2,1,0,0,3,6,12,10
0,16,2,0,0,1,5,6,9,9
0,16,3,0,0,0,4,2,9,11
1,15,1,1,0,0,1,6,14,13
1,16,2,0,0,1,2,0,12,13
1,16,2,0,0,0,1,2,13,14
1,15,4,0,0,0,4,2,11,12
1,15,4,0,0,0,1,4,13,13
0,16,1,0,0,0,4,6,9,11
1,16,2,0,0,1,5,0,13,12
1,16,1,1,0,0,1,4,12,13
1,16,3,0,0,0,3,2,12,13
0,16,1,0,0,0,4,12,9,9
1,16,3,0,0,0,4,0,16,16
1,15,1,0,0,0,5,2,12,13
0,15,2,0,0,0,2,16,11,10
1,15,2,0,0,0,1,0,16,16
0,15,4,1,0,1,4,10,10,10
0,15,4,0,0,0,3,4,10,10
1,16,3,0,0,0,5,4,13,14
0,15,4,0,0,0,1,8,12,10
1,16,3,0,0,0,4,2,15,15
1,15,1,1,0,0,4,4,13,14
0,16,3,0,0,0,2,4,11,11
0,16,2,1,0,0,5,12,8,10
1,15,1,1,0,0,3,10,18,17
0,15,2,1,0,0,5,4,10,9
1,16,2,0,0,0,5,6,16,14
1,15,2,0,0,1,2,4,16,15
1,16,1,1,0,0,5,6,14,14
0,17,2,0,0,0,5,14,12,11
1,15,1,1,0,0,4,2,14,13
1,15,2,1,0,0,1,0,14,14
1,15,4,0,0,0,5,6,14,13
1,16,2,0,0,0,5,2,14,12
1,16,1,0,0,0,5,4,12,13
0,16,2,1,0,0,5,0,12,11
0,15,1,1,0,0,5,2,9,9
0,15,2,1,0,0,1,0,10,11
0,19,2,0,1,1,5,0,9,10
1,16,1,1,0,0,4,8,14,14
1,16,3,0,0,0,1,4,13,12
1,15,3,0,0,0,5,0,10,11
0,18,2,0,1,0,5,10,10,9
0,17,1,0,0,0,5,8,11,10
1,15,1,0,0,0,4,6,11,12
1,17,1,0,0,0,5,2,13,12
1,16,1,1,0,0,5,12,15,13
0,16,1,1,0,1,2,4,9,9
0,16,1,1,0,1,5,12,13,11
0,15,2,0,0,1,5,2,12,11
1,15,3,0,0,0,5,4,13,14
0,17,2,1,0,1,5,2,10,9
1,16,2,0,0,1,3,0,14,13
1,18,1,1,0,0,4,2,11,11
0,18,3,0,0,0,5,10,12,11
0,16,1,0,0,1,1,8,12,11
0,16,1,0,0,0,5,4,9,9
0,16,2,1,0,1,5,0,10,10
1,15,1,1,0,0,5,6,13,14
0,15,1,1,0,0,1,2,8,9
0,15,4,0,0,0,3,6,9,11
0,15,2,1,0,1,1,24,9,8
1,16,3,0,0,0,5,0,15,13
0,16,1,0,0,0,2,4,12,11
1,15,3,0,0,0,5,2,13,13
0,16,1,1,0,0,1,4,10,11
0,17,1,0,0,0,5,22,9,7
1,15,2,0,0,0,5,0,12,12
0,15,1,0,1,0,5,0,11,10
0,15,2,0,0,0,3,2,11,11
1,15,2,0,0,0,5,6,13,12
0,15,2,1,0,1,1,6,11,11
0,16,1,0,1,0,5,16,9,9
0,15,1,1,0,0,5,0,12,11
0,18,1,1,1,0,4,0,11,9
0,16,1,1,0,1,5,6,9,10
1,15,3,0,0,0,3,2,13,13
0,19,1,0,1,0,4,6,11,9
1,17,1,0,0,1,4,0,13,13
0,15,2,1,0,1,1,0,7,8
0,17,1,1,0,1,5,14,9,8
0,18,1,0,0,1,4,6,11,10
0,16,1,1,0,1,3,4,12,10
0,16,2,0,0,0,5,0,10,10
0,16,1,1,0,0,5,0,9,8
0,17,1,1,1,0,5,8,8,8
0,17,2,0,0,0,3,4,7,6
0,15,1,1,0,1,5,2,8,9
0,16,1,1,1,0,2,2,9,8
0,17,2,1,1,1,5,0,8,8
0,17,1,0,1,1,2,10,8,7
0,16,2,1,1,0,4,0,9,10
1,16,2,1,0,0,3,0,17,17
1,16,2,0,0,0,4,0,12,12
1,16,2,0,0,0,3,0,16,16
0,16,1,0,0,0,2,4,9,9
1,16,2,0,0,0,3,0,16,17
0,17,2,0,0,0,5,0,11,9
1,16,2,1,0,0,3,0,14,13
1,16,2,0,0,0,4,0,14,14
0,17,2,1,0,0,4,0,10,11
1,16,2,1,0,0,5,0,13,12
0,17,2,1,0,0,4,4,11,9
0,16,1,0,0,0,3,8,10,9
1,17,2,0,0,0,2,4,11,11
0,16,2,0,0,0,3,4,11,10
1,16,2,1,0,0,3,0,11,12
1,17,2,0,0,1,5,0,17,18
1,17,2,0,0,0,1,32,14,13
1,16,2,0,0,0,1,8,14,15
1,17,2,0,0,0,4,6,11,13
0,16,1,0,0,0,3,0,10,9
1,16,2,1,0,0,5,0,13,14
1,17,2,0,0,0,3,10,12,13
0,17,2,1,0,1,3,6,9,9
1,16,2,1,0,0,2,6,12,12
1,17,2,1,0,0,3,0,12,11
1,17,2,1,0,0,5,16,10,11
0,16,1,0,0,0,5,0,11,10
1,16,1,1,0,0,3,0,13,12
1,17,2,1,0,0,5,8,14,15
1,17,1,1,0,0,5,4,13,13
1,16,1,0,0,0,3,16,10,11
1,17,1,0,0,0,2,30,14,15
