G3 (label),age,studytime,famsup,higher,internet,health,absences,G1,G2
0,16,1,0,1,0,5,11,10,11
1,16,2,0,0,0,5,0,12,12
0,15,1,0,0,1,2,6,10,10
0,15,1,0,0,0,5,4,10,10
1,16,2,1,0,1,5,0,16,17
0,15,1,1,1,1,1,0,6,8
0,16,2,0,0,1,2,5,10,11
0,16,3,1,0,0,5,0,10,11
0,17,2,1,0,1,5,0,10,10
0,17,1,0,1,0,5,0,6,6
1,15,1,1,0,0,5,0,13,14
0,16,4,1,1,1,1,4,10,9
0,15,2,0,0,0,4,0,10,10
0,15,1,0,0,0,2,4,6,7
1,16,1,0,0,1,2,0,12,11
1,17,1,0,0,0,3,2,10,11
1,15,1,1,0,0,4,0,14,16
0,16,2,0,0,1,3,0,7,0
0,17,2,1,0,0,5,4,8,9
1,15,2,0,0,0,2,0,12,13
0,15,2,0,0,0,2,7,7,9
0,16,2,1,0,1,5,4,9,10
0,15,2,0,0,1,4,8,7,9
0,15,2,0,0,0,5,0,11,11
0,17,1,1,1,1,3,8,8,10
1,16,3,1,0,0,4,6,16,16
1,15,1,1,0,1,1,3,11,13
1,16,2,0,0,0,1,2,15,15
0,16,2,1,0,1,5,0,10,11
0,16,2,0,0,0,4,4,9,10
0,16,3,0,0,1,4,0,10,8
0,16,3,0,0,1,4,3,9,8
0,15,2,0,0,0,2,0,9,10
1,16,2,0,0,1,2,0,13,14
0,17,1,0,0,0,3,4,10,11
1,16,4,0,0,0,1,0,13,10
0,16,3,0,0,1,5,2,10,9
0,15,2,0,0,0,2,1,11,10
1,16,1,1,0,0,2,0,13,12
1,15,2,0,0,1,2,0,13,14
1,15,3,0,0,1,5,2,14,11
0,16,1,1,0,1,5,6,11,11
0,18,2,0,0,0,5,9,9,8
0,15,1,0,0,1,4,0,10,9
1,16,2,0,0,0,2,1,14,13
1,15,1,1,0,1,4,1,13,12
1,16,2,0,0,1,3,0,13,12
1,15,2,0,0,0,1,4,13,12
1,16,2,0,0,1,5,2,12,11
1,16,1,0,0,1,4,0,14,14
0,16,1,0,0,0,4,4,10,8
0,15,1,0,0,0,3,2,10,11
1,15,3,0,0,1,4,0,12,13
0,16,1,0,0,0,5,2,10,8
0,15,1,0,0,0,3,11,12,10
0,16,2,0,0,1,1,0,7,7
0,17,1,0,1,1,5,4,9,9
0,19,1,1,1,0,2,0,9,9
0,17,1,0,1,1,3,2,9,10
0,15,1,0,1,1,4,0,9,10
0,16,2,0,1,0,1,1,9,10
0,16,1,0,1,1,1,6,7,7
0,17,2,0,0,0,4,0,11,10
0,16,1,0,0,0,3,1,9,10
0,18,3,0,1,1,2,6,7,9
0,19,3,1,1,1,3,6,7,9
0,18,1,1,1,0,4,0,8,9
0,18,1,1,1,0,2,4,9,11
0,19,2,0,0,0,1,12,7,8
0,16,2,1,0,1,3,2,8,10
0,17,1,1,0,1,5,5,9,9
0,16,2,1,1,0,3,0,8,9
1,16,1,1,1,0,4,0,14,13
1,16,1,0,0,0,4,2,14,14
0,17,4,0,0,1,5,0,10,11
1,16,2,0,0,0,1,0,14,13
1,16,1,0,0,1,5,0,17,16
0,17,1,0,1,0,1,12,6,7
1,16,1,1,0,0,5,8,14,12
0,17,4,0,0,1,3,2,10,8
1,16,4,0,0,0,5,0,14,14
1,19,3,1,0,0,1,0,12,13
0,17,1,0,0,0,5,0,11,11
0,20,2,1,0,0,3,8,11,9
0,17,3,0,0,1,3,0,11,11
0,17,1,0,0,0,5,0,10,9
1,16,2,0,0,1,1,0,16,17
1,17,2,0,0,1,1,0,15,17
0,17,2,1,0,0,4,1,11,9
0,18,2,0,0,0,5,9,7,7
0,16,1,1,0,0,1,0,8,6
0,16,1,1,0,0,3,2,7,6
0,18,2,1,0,1,3,8,9,8
1,16,2,1,0,0,2,0,14,16
1,16,1,1,0,0,2,0,14,14
0,18,2,0,0,0,1,8,8,5
0,16,2,1,0,0,2,0,8,7
0,16,2,0,0,0,5,6,6,8
0,16,2,0,0,0,2,0,8,10
0,16,2,0,0,0,3,4,8,8
0,18,4,0,1,0,5,2,5,6
0,16,2,0,0,1,2,2,7,9
1,17,3,0,0,0,5,0,15,14
1,17,1,1,0,0,5,1,13,14
0,16,3,1,0,1,3,0,10,9
0,17,1,0,0,0,5,5,9,9
0,16,1,0,0,1,5,1,11,11
0,17,1,0,0,0,3,8,7,10
0,17,2,1,0,0,1,0,10,10
0,16,2,1,0,0,5,2,9,7
1,16,2,1,0,0,3,0,14,15
1,16,1,0,0,0,5,0,11,12
0,15,2,0,0,1,5,11,9,11
1,15,4,0,0,1,5,8,13,14
1,15,1,1,0,0,5,11,12,13
0,16,3,0,0,1,5,2,11,11
0,16,2,0,0,0,1,8,9,10
0,17,1,1,0,1,1,5,9,11
0,17,2,1,0,1,5,0,11,9
