data,mt,val,l1,l2
German Credit,AR,0.78 $\pm$ 0.00,\textbf{1.26}$\pm$ 0.68,0.94 $\pm$ 0.41
,MACE,0.97 $\pm$ 0.00,2.10 $\pm$ 0.86,1.20 $\pm$ 0.47
,DiRRAc,0.99 $\pm$ 0.02,1.72 $\pm$ 0.49,0.77 $\pm$ 0.19
,Gaussian DiRRAc,\textbf{1.00}$\pm$ 0.00,1.78 $\pm$ 0.49,\textbf{0.77}$\pm$ 0.19
SBA,AR,0.41 $\pm$ 0.13,\textbf{1.80}$\pm$ 1.14,\textbf{1.16}$\pm$ 0.60
,MACE,0.98 $\pm$ 0.14,3.99 $\pm$ 0.22,1.92 $\pm$ 0.07
,DiRRAc,\textbf{0.98}$\pm$ 0.02,2.43 $\pm$ 1.30,1.17 $\pm$ 0.53
,Gaussian DiRRAc,0.92 $\pm$ 0.02,2.43 $\pm$ 1.35,1.18 $\pm$ 0.54
Student Performance,AR,0.35 $\pm$ 0.12,1.18 $\pm$ 0.99,0.82 $\pm$ 0.60
,MACE,0.64 $\pm$ 0.09,\textbf{0.81}$\pm$ 0.40,\textbf{0.51}$\pm$ 0.23
,DiRRAc,\textbf{1.00}$\pm$ 0.00,1.30 $\pm$ 0.38,0.69 $\pm$ 0.16
,Gaussian DiRRAc,1.00 $\pm$ 0.00,1.32 $\pm$ 0.40,0.71 $\pm$ 0.16
