data,mt,val_m1,val,l1,l2
German Credit,AR,0.93 $\pm$ 0.26,0.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00
,MACE,\textbf{0.99}$\pm$ 0.10,\textbf{1.00}$\pm$ 0.00,1.26 $\pm$ 0.00,1.01 $\pm$ 0.00
,ROAR,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.39 $\pm$ 0.00,\textbf{0.59}$\pm$ 0.00
,DiRRAc-NM,0.98 $\pm$ 0.14,0.00 $\pm$ 0.00,\textbf{0.96}$\pm$ 0.00,0.73 $\pm$ 0.00
,DiRRAc-GM,0.98 $\pm$ 0.14,0.00 $\pm$ 0.00,0.96 $\pm$ 0.00,0.73 $\pm$ 0.00
SBA,AR,0.52 $\pm$ 0.50,0.95 $\pm$ 0.22,\textbf{0.02}$\pm$ 0.00,\textbf{0.02}$\pm$ 0.00
,MACE,0.96 $\pm$ 0.20,0.98 $\pm$ 0.14,3.72 $\pm$ 0.00,1.85 $\pm$ 0.00
,ROAR,\textbf{1.00}$\pm$ 0.00,\textbf{1.00}$\pm$ 0.00,0.45 $\pm$ 0.00,0.22 $\pm$ 0.00
,DiRRAc-NM,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.22 $\pm$ 0.00,0.22 $\pm$ 0.00
,DiRRAc-GM,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.22 $\pm$ 0.00,0.22 $\pm$ 0.00
Student Performance,AR,0.32 $\pm$ 0.47,0.68 $\pm$ 0.47,\textbf{0.17}$\pm$ 0.00,\textbf{0.11}$\pm$ 0.00
,MACE,\textbf{0.86}$\pm$ 0.35,\textbf{1.00}$\pm$ 0.00,0.99 $\pm$ 0.00,0.56 $\pm$ 0.00
,ROAR,1.00 $\pm$ 0.00,0.96 $\pm$ 0.20,0.20 $\pm$ 0.00,0.14 $\pm$ 0.00
,DiRRAc-NM,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.27 $\pm$ 0.00,0.27 $\pm$ 0.00
,DiRRAc-GM,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.27 $\pm$ 0.00,0.27 $\pm$ 0.00
