data,mt,val_m1,val,l1,l2
German Credit,AR,0.72 $\pm$ 0.24,0.70 $\pm$ 0.00,1.52 $\pm$ 0.58,1.12 $\pm$ 0.18
,MACE,0.43 $\pm$ 0.50,0.74 $\pm$ 0.44,2.34 $\pm$ 0.43,1.30 $\pm$ 0.12
,ROAR,1.00 $\pm$ 0.00,0.86 $\pm$ 0.06,\textbf{1.26}$\pm$ 0.42,\textbf{0.53}$\pm$ 0.17
,DiRRAc-NM,\textbf{1.00}$\pm$ 0.00,\textbf{0.99}$\pm$ 0.03,1.95 $\pm$ 0.80,0.86 $\pm$ 0.33
,DiRRAc-GM,1.00 $\pm$ 0.01,0.95 $\pm$ 0.07,1.74 $\pm$ 0.60,0.75 $\pm$ 0.27
SBA,AR,0.43 $\pm$ 0.32,0.53 $\pm$ 0.16,1.89 $\pm$ 1.16,1.20 $\pm$ 0.61
,MACE,\textbf{0.96}$\pm$ 0.20,\textbf{0.98}$\pm$ 0.14,4.01 $\pm$ 0.24,1.94 $\pm$ 0.07
,ROAR,0.80 $\pm$ 0.22,0.65 $\pm$ 0.10,\textbf{1.81}$\pm$ 1.03,\textbf{0.83}$\pm$ 0.46
,DiRRAc-NM,1.00 $\pm$ 0.00,0.90 $\pm$ 0.01,2.48 $\pm$ 1.54,1.16 $\pm$ 0.67
,DiRRAc-GM,1.00 $\pm$ 0.00,0.80 $\pm$ 0.07,1.95 $\pm$ 1.15,0.94 $\pm$ 0.49
Student Performance,AR,0.45 $\pm$ 0.17,0.36 $\pm$ 0.17,0.70 $\pm$ 0.75,0.53 $\pm$ 0.50
,MACE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,6.32 $\pm$ 0.32,2.36 $\pm$ 0.04
,ROAR,0.69 $\pm$ 0.06,0.57 $\pm$ 0.18,\textbf{0.23}$\pm$ 0.10,\textbf{0.16}$\pm$ 0.06
,DiRRAc-NM,\textbf{0.90}$\pm$ 0.00,\textbf{0.89}$\pm$ 0.03,1.37 $\pm$ 1.62,0.64 $\pm$ 0.60
,DiRRAc-GM,0.90 $\pm$ 0.00,0.89 $\pm$ 0.03,1.36 $\pm$ 1.63,0.64 $\pm$ 0.60
