data,mt,val_m1,val,l1,l2
German Credit,AR,0.67 $\pm$ 0.47,0.59 $\pm$ 0.38,\textbf{1.00}$\pm$ 0.00,\textbf{1.00}$\pm$ 0.00
,MACE,0.67 $\pm$ 0.47,0.31 $\pm$ 0.22,1.99 $\pm$ 0.29,1.19 $\pm$ 0.13
,ROAR,0.00 $\pm$ 0.00,0.03 $\pm$ 0.09,1.47 $\pm$ 0.33,1.36 $\pm$ 0.17
,DiRRAc-NM,\textbf{1.00}$\pm$ 0.00,\textbf{0.79}$\pm$ 0.32,2.35 $\pm$ 0.16,1.31 $\pm$ 0.04
,DiRRAc-GM,0.89 $\pm$ 0.31,0.73 $\pm$ 0.40,1.83 $\pm$ 0.64,1.06 $\pm$ 0.35
SBA,AR,1.00 $\pm$ 0.00,0.72 $\pm$ 0.27,\textbf{1.02}$\pm$ 0.04,1.00 $\pm$ 0.00
,MACE,1.00 $\pm$ 0.00,0.75 $\pm$ 0.16,5.90 $\pm$ 0.45,2.31 $\pm$ 0.07
,ROAR,1.00 $\pm$ 0.00,0.73 $\pm$ 0.28,2.19 $\pm$ 0.13,1.99 $\pm$ 0.11
,DiRRAc-NM,\textbf{1.00}$\pm$ 0.00,\textbf{1.00}$\pm$ 0.00,2.20 $\pm$ 0.11,1.00 $\pm$ 0.02
,DiRRAc-GM,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,2.19 $\pm$ 0.11,\textbf{1.00}$\pm$ 0.02
Student Performance,AR,0.47 $\pm$ 0.50,0.41 $\pm$ 0.44,\textbf{nan}$\pm$ nan,\textbf{nan}$\pm$ nan
,MACE,0.60 $\pm$ 0.49,0.60 $\pm$ 0.49,3.04 $\pm$ 1.61,1.44 $\pm$ 0.57
,ROAR,0.67 $\pm$ 0.47,0.55 $\pm$ 0.44,0.72 $\pm$ 0.48,0.65 $\pm$ 0.47
,DiRRAc-NM,1.00 $\pm$ 0.00,0.99 $\pm$ 0.05,2.42 $\pm$ 2.01,1.41 $\pm$ 0.85
,DiRRAc-GM,\textbf{1.00}$\pm$ 0.00,\textbf{1.00}$\pm$ 0.00,2.17 $\pm$ 1.81,1.31 $\pm$ 0.77
