data,mt,val_m1,val,l1,l2
German Credit,AR,0.73 $\pm$ 0.25,0.78 $\pm$ 0.00,1.26 $\pm$ 0.68,0.94 $\pm$ 0.41
,MACE,0.88 $\pm$ 0.13,0.97 $\pm$ 0.00,1.24 $\pm$ 0.69,0.80 $\pm$ 0.37
,ROAR,1.00 $\pm$ 0.00,0.92 $\pm$ 0.04,\textbf{1.10}$\pm$ 0.38,\textbf{0.47}$\pm$ 0.16
,DiRRAc-NM,\textbf{1.00}$\pm$ 0.00,\textbf{0.99}$\pm$ 0.02,1.67 $\pm$ 0.81,0.74 $\pm$ 0.34
,DiRRAc-GM,1.00 $\pm$ 0.00,0.98 $\pm$ 0.03,1.67 $\pm$ 0.81,0.72 $\pm$ 0.34
SBA,AR,0.44 $\pm$ 0.31,0.41 $\pm$ 0.13,1.80 $\pm$ 1.14,1.16 $\pm$ 0.60
,MACE,0.06 $\pm$ 0.06,0.20 $\pm$ 0.11,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
,ROAR,0.82 $\pm$ 0.20,0.67 $\pm$ 0.08,1.68 $\pm$ 1.02,0.77 $\pm$ 0.46
,DiRRAc-NM,\textbf{1.00}$\pm$ 0.00,\textbf{0.90}$\pm$ 0.01,2.30 $\pm$ 1.52,1.07 $\pm$ 0.66
,DiRRAc-GM,1.00 $\pm$ 0.00,0.83 $\pm$ 0.06,1.82 $\pm$ 1.14,0.88 $\pm$ 0.48
Student Performance,AR,0.28 $\pm$ 0.08,0.35 $\pm$ 0.12,1.18 $\pm$ 0.99,0.82 $\pm$ 0.60
,MACE,0.72 $\pm$ 0.10,0.61 $\pm$ 0.09,0.82 $\pm$ 0.41,0.52 $\pm$ 0.24
,ROAR,0.50 $\pm$ 0.07,0.55 $\pm$ 0.11,\textbf{0.32}$\pm$ 0.18,\textbf{0.22}$\pm$ 0.11
,DiRRAc-NM,\textbf{0.94}$\pm$ 0.01,\textbf{0.94}$\pm$ 0.01,1.06 $\pm$ 0.64,0.55 $\pm$ 0.30
,DiRRAc-GM,0.94 $\pm$ 0.01,0.94 $\pm$ 0.01,1.13 $\pm$ 0.83,0.57 $\pm$ 0.34
