data,mt,val_m1,val,l1,l2
German Credit,AR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
,MACE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,ROAR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,DiRRAc-NM,1.00 $\pm$ 0.00,0.81 $\pm$ 0.07,1.89 $\pm$ 0.40,0.99 $\pm$ 0.13
,DiRRAc-GM,\textbf{1.00}$\pm$ 0.00,\textbf{0.84}$\pm$ 0.08,1.40 $\pm$ 0.82,0.72 $\pm$ 0.45
SBA,AR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
,MACE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,ROAR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,DiRRAc-NM,\textbf{1.00}$\pm$ 0.00,\textbf{1.00}$\pm$ 0.00,1.17 $\pm$ 0.45,0.85 $\pm$ 0.32
,DiRRAc-GM,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.17 $\pm$ 0.45,0.85 $\pm$ 0.32
Student Performance,AR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
,MACE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,ROAR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,DiRRAc-NM,\textbf{1.00}$\pm$ 0.00,\textbf{0.99}$\pm$ 0.02,0.78 $\pm$ 0.20,0.71 $\pm$ 0.24
,DiRRAc-GM,1.00 $\pm$ 0.00,0.98 $\pm$ 0.02,0.78 $\pm$ 0.20,0.78 $\pm$ 0.20
