data,mt,val_m1,val,l1,l2
German Credit,AR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
,MACE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,ROAR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,Wachter,\textbf{1.00}$\pm$ 0.00,\textbf{0.98}$\pm$ 0.02,1.33 $\pm$ 0.44,0.55 $\pm$ 0.18
,DiRRAc-NM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,DiRRAc-GM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
SBA,AR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
,MACE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,ROAR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,Wachter,\textbf{0.90}$\pm$ 0.17,\textbf{0.97}$\pm$ 0.01,1.33 $\pm$ 0.61,0.57 $\pm$ 0.26
,DiRRAc-NM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,DiRRAc-GM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
Student Performance,AR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
,MACE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,ROAR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,Wachter,\textbf{0.76}$\pm$ 0.06,\textbf{0.76}$\pm$ 0.07,0.60 $\pm$ 0.23,0.28 $\pm$ 0.11
,DiRRAc-NM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,DiRRAc-GM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
